Source,Target,Type
Daniel Craig,Rooney Mara,Undirected
Tom Hanks,Barkhad Abdi,Undirected
Won Bin,Sae-ron Kim,Undirected
O'Shea Jackson Jr.,Corey Hawkins,Undirected
Hye-ja Kim,Won Bin,Undirected
Kim Yoon-seok,Jung-woo Ha,Undirected
Ian McKellen,Martin Freeman,Undirected
Christian Friedel,Ernst Jacobi,Undirected
Michael Nyqvist,Noomi Rapace,Undirected
Eddie Redmayne,Alex Sharp,Undirected
Mads Mikkelsen,Thomas Bo Larsen,Undirected
Mark Wahlberg,Christian Bale,Undirected
Liam Neeson,Maggie Grace,Undirected
Asa Butterfield,David Thewlis,Undirected
Glen Hansard,Markéta Irglová,Undirected
Martin Freeman,Ian McKellen,Undirected
Baki Davrak,Nurgül Yesilçay,Undirected
Keira Knightley,James McAvoy,Undirected
Ryan Gosling,Carey Mulligan,Undirected
Denzel Washington,Russell Crowe,Undirected
Sam Worthington,Zoe Saldana,Undirected
Jared Leto,Sarah Polley,Undirected
Gerardo Taracena,Raoul Max Trujillo,Undirected
Valerie Faris,Steve Carell,Undirected
Simon Pegg,Nick Frost,Undirected
Brad Pitt,Cate Blanchett,Undirected
Shah Rukh Khan,Preity Zinta,Undirected
Ulrich Thomsen,Mads Mikkelsen,Undirected
Keira Knightley,Matthew Macfadyen,Undirected
Anthony Hopkins,Diane Ladd,Undirected
Shôgo Furuya,Tôru Emori,Undirected
Nathan Fillion,Gina Torres,Undirected
Joaquin Phoenix,Reese Witherspoon,Undirected
Andreas Wilson,Henrik Lundström,Undirected
Gena Rowlands,James Garner,Undirected
Gael García Bernal,Rodrigo De la Serna,Undirected
Oksana Akinshina,Artyom Bogucharskiy,Undirected
Michèle Caucheteux,Jean-Claude Donda,Undirected
Lee Yeong-ae,Lee Byung-Hun,Undirected
Jim Caviezel,Guy Pearce,Undirected
Ethan Hawke,Trevor Jack Brooks,Undirected
Denzel Washington,Will Patton,Undirected
Yun-Fat Chow,Michelle Yeoh,Undirected
Cecilia Roth,Marisa Paredes,Undirected
Tom Hanks,Helen Hunt,Undirected
Willem Dafoe,Sean Patrick Flanery,Undirected
Russell Crowe,Al Pacino,Undirected
Jake Gyllenhaal,Chris Cooper,Undirected
Vicky Jenson,Mike Myers,Undirected
Leonardo DiCaprio,Kate Winslet,Undirected
Takeshi Kitano,Kayoko Kishimoto,Undirected
Ethan Hawke,Uma Thurman,Undirected
Michael Douglas,Deborah Kara Unger,Undirected
Emily Watson,Stellan Skarsgård,Undirected
Johnny Depp,Martin Landau,Undirected
Johnny Depp,Leonardo DiCaprio,Undirected
Kevin Jarre,Kurt Russell,Undirected
Tom Guiry,Mike Vitar,Undirected
Anthony Hopkins,Emma Thompson,Undirected
David Thewlis,Lesley Sharp,Undirected
Harrison Ford,Tommy Lee Jones,Undirected
Robert De Niro,Chazz Palminteri,Undirected
Boyd Kirkland,Frank Paur,Undirected
Yun-Fat Chow,Tony Chiu-Wai Leung,Undirected
Winona Ryder,Gena Rowlands,Undirected
Irène Jacob,Wladyslaw Kowalski,Undirected
Cuba Gooding Jr.,Laurence Fishburne,Undirected
James Caan,Kathy Bates,Undirected
Robert De Niro,Robin Williams,Undirected
Kirsten Dunst,Minami Takayama,Undirected
Matthew Broderick,Denzel Washington,Undirected
Yun-Fat Chow,Danny Lee,Undirected
Michael J. Fox,Christopher Lloyd,Undirected
Gene Hackman,Willem Dafoe,Undirected
Arnold Schwarzenegger,Carl Weathers,Undirected
Bruce Campbell,Sarah Berry,Undirected
Matthew Broderick,Alan Ruck,Undirected
Tom Waits,John Lurie,Undirected
Sean Astin,Josh Brolin,Undirected
Danny Glover,Whoopi Goldberg,Undirected
Emilio Estevez,Judd Nelson,Undirected
Sam Waterston,Haing S. Ngor,Undirected
Bill Murray,Dan Aykroyd,Undirected
Sam Shepard,Scott Glenn,Undirected
Robert De Niro,Jerry Lewis,Undirected
Henry Thomas,Drew Barrymore,Undirected
Dustin Hoffman,Meryl Streep,Undirected
Richard Gere,Brooke Adams,Undirected
Clint Eastwood,Sondra Locke,Undirected
Sean Connery,Michael Caine,Undirected
Gene Hackman,John Cazale,Undirected
Barry Bostwick,Jennifer Drake,Undirected
Edward Fox,Terence Alexander,Undirected
Martin Sheen,Sissy Spacek,Undirected
Liza Minnelli,Michael York,Undirected
Gene Wilder,Jack Albertson,Undirected
Dustin Hoffman,Jon Voight,Undirected
Audrey Hepburn,Alan Arkin,Undirected
Spencer Tracy,Sidney Poitier,Undirected
Warren Beatty,Faye Dunaway,Undirected
Audrey Hepburn,Rex Harrison,Undirected
Julie Andrews,Dick Van Dyke,Undirected
Andrew Marton,Gerd Oswald,Undirected
Jeanne Moreau,Oskar Werner,Undirected
Deborah Kerr,Peter Wyngarde,Undirected
Jean-Paul Belmondo,Jean Seberg,Undirected
Arthur Rosson,John Wayne,Undirected
Humphrey Bogart,Edward G. Robinson,Undirected
Humphrey Bogart,Lauren Bacall,Undirected
Teresa Wright,Joseph Cotten,Undirected
John Wayne,Claire Trevor,Undirected
Margaret Lockwood,Michael Redgrave,Undirected
Katharine Hepburn,Cary Grant,Undirected
Boris Karloff,Elsa Lanchester,Undirected
Groucho Marx,Harpo Marx,Undirected
Richard Rosson,Paul Muni,Undirected
Colin Clive,Mae Clarke,Undirected
Yalitza Aparicio,Marina de Tavira,Undirected
Josh O'Connor,Alec Secareanu,Undirected
Ryan Reynolds,Josh Brolin,Undirected
Kelsey Asbille,Jeremy Renner,Undirected
Daniel Kaluuya,Allison Williams,Undirected
Tom Cruise,Henry Cavill,Undirected
Rolf Lassgård,Bahar Pars,Undirected
Taika Waititi,Jemaine Clement,Undirected
Hiromasa Yonebayashi,Sara Takatsuki,Undirected
Eddie Redmayne,Felicity Jones,Undirected
Colin Firth,Taron Egerton,Undirected
Shailene Woodley,Ansel Elgort,Undirected
Thomas Mann,RJ Cyler,Undirected
Michael Keaton,Zach Galifianakis,Undirected
Léa Seydoux,Adèle Exarchopoulos,Undirected
Amit Sadh,Sushant Singh Rajput,Undirected
Veerle Baetens,Johan Heldenbergh,Undirected
Joe Russo,Chris Evans,Undirected
Ranbir Kapoor,Nargis Fakhri,Undirected
Bruce Dern,Will Forte,Undirected
John C. Reilly,Jack McBrayer,Undirected
Jeff Bridges,Mackenzie Foy,Undirected
Adrien Brody,Christina Hendricks,Undirected
Owen Wilson,Rachel McAdams,Undirected
Phil Lord,Chris Pratt,Undirected
Sandra Bullock,George Clooney,Undirected
Chris Pine,Zachary Quinto,Undirected
Abraham Attah,Emmanuel Affadzi,Undirected
Jesse Eisenberg,Andrew Garfield,Undirected
James McAvoy,Michael Fassbender,Undirected
Zach Galifianakis,Bradley Cooper,Undirected
Daniel Craig,Javier Bardem,Undirected
Bradley Cooper,Jennifer Lawrence,Undirected
Ben Affleck,Bryan Cranston,Undirected
Zooey Deschanel,Joseph Gordon-Levitt,Undirected
Daniel Radcliffe,Emma Watson,Undirected
Cate Blanchett,Matt Damon,Undirected
Frank Langella,Michael Sheen,Undirected
Megumi Hayashibara,Tôru Emori,Undirected
Angelina Jolie,Colm Feore,Undirected
Madeline Carroll,Callan McAuliffe,Undirected
Riisa Naka,Takuya Ishida,Undirected
Tatsuya Fujiwara,Ken'ichi Matsuyama,Undirected
Thomas Turgoose,Stephen Graham,Undirected
Alicia Vikander,Domhnall Gleeson,Undirected
Mads Mikkelsen,Sidse Babett Knudsen,Undirected
James McAvoy,Forest Whitaker,Undirected
Jake Gyllenhaal,Robert Downey Jr.,Undirected
Josh Hartnett,Ben Kingsley,Undirected
Diane Kruger,Benno Fürmann,Undirected
Sam Riley,Samantha Morton,Undirected
Byron Howard,Mandy Moore,Undirected
Carice van Houten,Sebastian Koch,Undirected
Jake Gyllenhaal,Heath Ledger,Undirected
Russell Crowe,Christian Bale,Undirected
Don Cheadle,Sandra Bullock,Undirected
Stephen Chow,Wah Yuen,Undirected
Matt Damon,Franka Potente,Undirected
Christian Bale,Jennifer Jason Leigh,Undirected
Jamie Foxx,Regina King,Undirected
Bill Murray,Scarlett Johansson,Undirected
Daniel Radcliffe,Emma Watson,Undirected
Denzel Washington,Christopher Walken,Undirected
Dakota Fanning,Teri Hatcher,Undirected
Tom Cruise,Ken Watanabe,Undirected
Eileen Walsh,Dorothy Duffy,Undirected
Daniel Brühl,Katrin Saß,Undirected
Paddy Considine,Samantha Morton,Undirected
Sean Penn,Michelle Pfeiffer,Undirected
Nicolas Cage,Meryl Streep,Undirected
Josh Hartnett,Ewan McGregor,Undirected
Tom Hanks,Tyler Hoechlin,Undirected
Moritz Bleibtreu,Christian Berkel,Undirected
Jamie Bell,Julie Walters,Undirected
John Cameron Mitchell,Miriam Shor,Undirected
George Clooney,Brad Pitt,Undirected
Andrew Philpot,John Rafter Lee,Undirected
Ethan Coen,George Clooney,Undirected
James Marsden,Gary Oldman,Undirected
Trey Parker,Matt Stone,Undirected
Ron Livingston,Jennifer Aniston,Undirected
Jane Adams,Jon Lovitz,Undirected
Denzel Washington,Ethan Hawke,Undirected
Jason Schwartzman,Bill Murray,Undirected
Eduardo Noriega,Penélope Cruz,Undirected
John Cusack,Cameron Diaz,Undirected
Jack Nicholson,Helen Hunt,Undirected
Bruce Willis,Milla Jovovich,Undirected
Thierry Lhermitte,Jacques Villeret,Undirected
Al Pacino,Johnny Depp,Undirected
Geoffrey Rush,Armin Mueller-Stahl,Undirected
Richard Gere,Laura Linney,Undirected
Kenneth Branagh,Julie Christie,Undirected
Liesel Matthews,Eleanor Bron,Undirected
Leon Lai,Michelle Reis,Undirected
Massimo Troisi,Massimo Troisi,Undirected
Brian O'Halloran,Jeff Anderson,Undirected
Andie MacDowell,Julianne Moore,Undirected
Tom Hanks,Denzel Washington,Undirected
Michael Caine,Kermit the Frog,Undirected
Denzel Washington,Angela Bassett,Undirected
Daniel Day-Lewis,Madeleine Stowe,Undirected
Shûichirô Moriyama,Tokiko Katô,Undirected
Al Pacino,Jack Lemmon,Undirected
Tom Cruise,Jack Nicholson,Undirected
Kathy Bates,Jessica Tandy,Undirected
Ethan Coen,John Turturro,Undirected
Ethan Coen,Gabriel Byrne,Undirected
Bob Hoskins,Christopher Lloyd,Undirected
Bernard-Pierre Donnadieu,Gene Bervoets,Undirected
Richard E. Grant,Paul McGann,Undirected
John Lone,Joan Chen,Undirected
Christian Bale,John Malkovich,Undirected
Sean Connery,Christian Slater,Undirected
Isabella Rossellini,Kyle MacLachlan,Undirected
Mia Farrow,Jeff Daniels,Undirected
Griffin Dunne,Rosanna Arquette,Undirected
Woody Allen,Mia Farrow,Undirected
Paul Newman,Charlotte Rampling,Undirected
William Shatner,Leonard Nimoy,Undirected
Sylvester Stallone,Brian Dennehy,Undirected
Donald Sutherland,Mary Tyler Moore,Undirected
David Zucker,Jerry Zucker,Undirected
Yasuo Yamada,Eiko Masuyama,Undirected
Donald Pleasence,Jamie Lee Curtis,Undirected
Roman Polanski,Isabelle Adjani,Undirected
Woody Allen,Diane Keaton,Undirected
Walter Matthau,Robert Shaw,Undirected
Cleavon Little,Gene Wilder,Undirected
Al Pacino,John Randolph,Undirected
Bruce Lee,John Saxon,Undirected
Jon Voight,Burt Reynolds,Undirected
Gene Hackman,Roy Scheider,Undirected
Clint Eastwood,Andrew Robinson,Undirected
Richard Burton,Clint Eastwood,Undirected
Jack Lemmon,Walter Matthau,Undirected
Lee Marvin,Ernest Borgnine,Undirected
Catherine Deneuve,Jean Sorel,Undirected
Paul Scofield,Wendy Hiller,Undirected
Catherine Deneuve,Ian Hendry,Undirected
Stanley Baker,Jack Hawkins,Undirected
Sean Connery,Gert Fröbe,Undirected
Rod Taylor,Tippi Hedren,Undirected
Gregory Peck,Robert Mitchum,Undirected
Karlheinz Böhm,Anna Massey,Undirected
Yul Brynner,Steve McQueen,Undirected
Pierre Brasseur,Alida Valli,Undirected
Kevin McCarthy,Dana Wynter,Undirected
James Dean,Natalie Wood,Undirected
Alec Guinness,Peter Sellers,Undirected
Humphrey Bogart,Audrey Hepburn,Undirected
John Wayne,Maureen O'Hara,Undirected
Michael Rennie,Patricia Neal,Undirected
Humphrey Bogart,Katharine Hepburn,Undirected
Rita Hayworth,Glenn Ford,Undirected
Samuel Armstrong,Ford Beebe Jr.,Undirected
Claude Rains,Gloria Stuart,Undirected
Mark Ruffalo,Anne Hathaway,Undirected
John Cho,Debra Messing,Undirected
Leonardo DiCaprio,Brad Pitt,Undirected
Maryana Spivak,Aleksey Rozin,Undirected
Brooklynn Prince,Bria Vinaite,Undirected
Michael B. Jordan,Jamie Foxx,Undirected
Chris Evans,Mckenna Grace,Undirected
Michael Schwartz,Zack Gottsagen,Undirected
Laia Costa,Frederick Lau,Undirected
Günes Sensoy,Doga Zeynep Doguslu,Undirected
Chris Pratt,Zoe Saldana,Undirected
Ansel Elgort,Jon Bernthal,Undirected
Josh Brolin,Miles Teller,Undirected
Tom Hanks,Mark Rylance,Undirected
Craig T. Nelson,Holly Hunter,Undirected
John Musker,Don Hall,Undirected
Emily Blunt,Josh Brolin,Undirected
Michael B. Jordan,Sylvester Stallone,Undirected
Aleksey Serebryakov,Elena Lyadova,Undirected
Chris Pine,Ben Foster,Undirected
Judi Dench,Steve Coogan,Undirected
Gary Oldman,Keri Russell,Undirected
Jose Coronado,Hugo Silva,Undirected
Iko Uwais,Ananda George,Undirected
Jake Gyllenhaal,Michael Peña,Undirected
Amy Poehler,Mirai Shida,Undirected
Lady Gaga,Bradley Cooper,Undirected
Joel Coen,Jeff Bridges,Undirected
Mikael Persbrandt,Trine Dyrholm,Undirected
Chris Renaud,Steve Carell,Undirected
Joseph Gordon-Levitt,Seth Rogen,Undirected
Aaron Taylor-Johnson,Nicolas Cage,Undirected
Luis Tosar,Alberto Ammann,Undirected
Brad Pitt,Robin Wright,Undirected
Antonio Banderas,Elena Anaya,Undirected
Jesse Eisenberg,Emma Stone,Undirected
Jürgen Vogel,Frederick Lau,Undirected
Robert Downey Jr.,Jude Law,Undirected
Quinton Aaron,Sandra Bullock,Undirected
Richard Jenkins,Haaz Sleiman,Undirected
Will Smith,Rosario Dawson,Undirected
Naomi Watts,Viggo Mortensen,Undirected
Charlie Cox,Claire Danes,Undirected
Nora Twomey,Evan McGuire,Undirected
Denzel Washington,Clive Owen,Undirected
Morgan Freeman,Ed Harris,Undirected
Marion Cotillard,Sylvie Testud,Undirected
Jet Li,Li Sun,Undirected
Edward Norton,Jessica Biel,Undirected
Paddy Considine,Gary Stretch,Undirected
Daniel Radcliffe,Emma Watson,Undirected
Gerard Butler,Lena Headey,Undirected
Scarlett Johansson,Jonathan Rhys Meyers,Undirected
Jackie Earle Haley,Patrick Wilson,Undirected
Nicolas Cage,Ethan Hawke,Undirected
Cary Elwes,Leigh Whannell,Undirected
Philip Seymour Hoffman,Samantha Morton,Undirected
Brady Corbet,Joseph Gordon-Levitt,Undirected
Guillaume Canet,Marion Cotillard,Undirected
Audrey Tautou,Gaspard Ulliel,Undirected
Peter Dinklage,Patricia Clarkson,Undirected
Sean Penn,Benicio Del Toro,Undirected
Kang-ho Song,Shin Ha-kyun,Undirected
Johnny Depp,Kate Winslet,Undirected
Edward Norton,Barry Pepper,Undirected
J. Mackye Gruber,Ashton Kutcher,Undirected
Cillian Murphy,Naomie Harris,Undirected
Tatsuya Fujiwara,Aki Maeda,Undirected
Gene Hackman,Gwyneth Paltrow,Undirected
Maribel Verdú,Gael García Bernal,Undirected
Daniel Radcliffe,Rupert Grint,Undirected
Nicole Kidman,Christopher Eccleston,Undirected
Johnny Depp,Penélope Cruz,Undirected
Jude Law,Ed Harris,Undirected
Tom Cruise,Colin Farrell,Undirected
Denzel Washington,Vicellous Shannon,Undirected
Christian Bale,Justin Theroux,Undirected
Franka Potente,Moritz Bleibtreu,Undirected
Jim Caviezel,Sean Penn,Undirected
Barry Cook,Ming-Na Wen,Undirected
Johnny Depp,Benicio Del Toro,Undirected
Susanne Lothar,Ulrich Mühe,Undirected
Rufus Sewell,Kiefer Sutherland,Undirected
Robert De Niro,Kevin Bacon,Undirected
Bill Pullman,Patricia Arquette,Undirected
Emma Thompson,Kate Winslet,Undirected
Bruce Willis,Jeremy Irons,Undirected
Johnny Depp,Gary Farmer,Undirected
Clint Eastwood,Meryl Streep,Undirected
Tom Hanks,Bill Paxton,Undirected
Zbigniew Zamachowski,Julie Delpy,Undirected
Michael Douglas,Robert Duvall,Undirected
Jason London,Wiley Wiggins,Undirected
Joe Pesci,Marisa Tomei,Undirected
Miki Imai,Toshirô Yanagiba,Undirected
Jean-Pierre Jeunet,Marie-Laure Dougnac,Undirected
Macaulay Culkin,Joe Pesci,Undirected
Al Pacino,Diane Keaton,Undirected
Billy Crystal,Meg Ryan,Undirected
John Musker,Jodi Benson,Undirected
Leslie Nielsen,Priscilla Presley,Undirected
Steve Martin,John Candy,Undirected
Mel Gibson,Danny Glover,Undirected
Ethan Coen,John Getz,Undirected
Katharine Hepburn,Henry Fonda,Undirected
Mel Gibson,Bruce Spence,Undirected
Michael Beck,James Remar,Undirected
Jim Henson,Frank Oz,Undirected
Clint Eastwood,Patrick McGoohan,Undirected
John Hubley,John Hurt,Undirected
Brad Davis,Irene Miracle,Undirected
Richard Dreyfuss,François Truffaut,Undirected
Elliott Gould,Nina van Pallandt,Undirected
Rod Steiger,James Coburn,Undirected
Clint Eastwood,Telly Savalas,Undirected
Phil Harris,Sebastian Cabot,Undirected
David Hemmings,Vanessa Redgrave,Undirected
John Lennon,Paul McCartney,Undirected
Audrey Hepburn,George Peppard,Undirected
Elizabeth Taylor,Rock Hudson,Undirected
Burt Lancaster,Montgomery Clift,Undirected
Tallulah Bankhead,John Hodiak,Undirected
Robert Donat,Madeleine Carroll,Undirected
Tim Robbins,Bob Gunton,Undirected
Marlon Brando,James Caan,Undirected
Christian Bale,Aaron Eckhart,Undirected
Al Pacino,Robert Duvall,Undirected
Henry Fonda,Martin Balsam,Undirected
Elijah Wood,Ian McKellen,Undirected
John Travolta,Samuel L. Jackson,Undirected
Liam Neeson,Ben Kingsley,Undirected
Leonardo DiCaprio,Elliot Page,Undirected
Brad Pitt,Meat Loaf,Undirected
Elijah Wood,Orlando Bloom,Undirected
Tom Hanks,Gary Sinise,Undirected
Clint Eastwood,Lee Van Cleef,Undirected
Elijah Wood,Viggo Mortensen,Undirected
Lilly Wachowski,Laurence Fishburne,Undirected
Robert De Niro,Joe Pesci,Undirected
Mark Hamill,Carrie Fisher,Undirected
Jack Nicholson,Michael Berryman,Undirected
Lin-Manuel Miranda,Leslie Odom Jr.,Undirected
Kang-ho Song,Cho Yeo-jeong,Undirected
Suriya,Paresh Rawal,Undirected
Matthew McConaughey,Jessica Chastain,Undirected
Kátia Lund,Leandro Firmino,Undirected
Daveigh Chase,Miyu Irino,Undirected
Tom Hanks,Tom Sizemore,Undirected
Tom Hanks,David Morse,Undirected
Roberto Benigni,Giorgio Cantarini,Undirected
Morgan Freeman,Kevin Spacey,Undirected
Jodie Foster,Lawrence A. Bonney,Undirected
Mark Hamill,Carrie Fisher,Undirected
Tatsuya Nakadai,Shima Iwashita,Undirected
Toshirô Mifune,Keiko Tsushima,Undirected
James Stewart,Lionel Barrymore,Undirected
Joaquin Phoenix,Zazie Beetz,Undirected
Miles Teller,Melissa Benoist,Undirected
Éric Toledano,Omar Sy,Undirected
Christian Bale,Scarlett Johansson,Undirected
Leonardo DiCaprio,Jack Nicholson,Undirected
Adrien Brody,Frank Finlay,Undirected
Russell Crowe,Connie Nielsen,Undirected
Edward Norton,Beverly D'Angelo,Undirected
Kevin Spacey,Chazz Palminteri,Undirected
Jean Reno,Natalie Portman,Undirected
Rob Minkoff,Jeremy Irons,Undirected
Arnold Schwarzenegger,Edward Furlong,Undirected
Philippe Noiret,Antonella Attili,Undirected
Tsutomu Tatsumi,Akemi Yamaguchi,Undirected
Michael J. Fox,Lea Thompson,Undirected
Henry Fonda,Claudia Cardinale,Undirected
Anthony Perkins,Vera Miles,Undirected
Humphrey Bogart,Paul Henreid,Undirected
Charles Chaplin,Henry Bergman,Undirected
Charles Chaplin,Florence Lee,Undirected
Zain Al Rafeea,Boluwatife Treasure Bankole,Undirected
Erdem Can,Ismail Hacioglu,Undirected
Pushkar,Vijay Sethupathi,Undirected
Ryûnosuke Kamiki,Ryô Narita,Undirected
Aamir Khan,Fatima Sana Shaikh,Undirected
Peter Ramsey,Shameik Moore,Undirected
Joe Russo,Chris Evans,Undirected
Joe Russo,Chris Hemsworth,Undirected
Adrian Molina,Gael García Bernal,Undirected
Jamie Foxx,Leonardo DiCaprio,Undirected
Christian Bale,Anne Hathaway,Undirected
Aamir Khan,Mona Singh,Undirected
Amole Gupte,Aamir Khan,Undirected
Ben Burtt,Jeff Garlin,Undirected
Ulrich Mühe,Sebastian Koch,Undirected
Choi Min-sik,Kang Hye-jeong,Undirected
Guy Pearce,Joe Pantoliano,Undirected
Yôji Matsuda,Yûko Tanaka,Undirected
Robert De Niro,Elizabeth McGovern,Undirected
Harrison Ford,Paul Freeman,Undirected
Jack Nicholson,Danny Lloyd,Undirected
Martin Sheen,Robert Duvall,Undirected
Sigourney Weaver,John Hurt,Undirected
Rajesh Khanna,Sumita Sanyal,Undirected
Toshirô Mifune,Tatsuya Nakadai,Undirected
Peter Sellers,Sterling Hayden,Undirected
Tyrone Power,Charles Laughton,Undirected
Kirk Douglas,Adolphe Menjou,Undirected
James Stewart,Wendell Corey,Undirected
William Holden,Erich von Stroheim,Undirected
Charles Chaplin,Jack Oakie,Undirected
Dean-Charles Chapman,Daniel Mays,Undirected
Anand Gandhi,Sohum Shah,Undirected
Ayushmann Khurrana,Radhika Apte,Undirected
Mohanlal,Asha Sharath,Undirected
Mads Mikkelsen,Annika Wedderkopp,Undirected
Payman Maadi,Sareh Bayat,Undirected
Lubna Azabal,Maxim Gaudette,Undirected
Aras Bulut Iynemli,Deniz Baysal,Undirected
Çetin Tekindor,Hümeyra,Undirected
Brad Pitt,Eli Roth,Undirected
Jim Carrey,Tom Wilkinson,Undirected
Audrey Tautou,Rufus,Undirected
Jason Statham,Benicio Del Toro,Undirected
Ellen Burstyn,Jennifer Connelly,Undirected
Kevin Spacey,Thora Birch,Undirected
Robin Williams,Ben Affleck,Undirected
Mohammad Amir Naji,Bahare Seddiqi,Undirected
Tom Hanks,Don Rickles,Undirected
Mel Gibson,Patrick McGoohan,Undirected
Harvey Keitel,Michael Madsen,Undirected
Matthew Modine,Vincent D'Onofrio,Undirected
Aleksey Kravchenko,Liubomiras Laucevicius,Undirected
Sigourney Weaver,Carrie Henn,Undirected
F. Murray Abraham,Elizabeth Berridge,Undirected
Al Pacino,Steven Bauer,Undirected
Mark Hamill,Carrie Fisher,Undirected
Jürgen Prochnow,Klaus Wennemann,Undirected
Robert De Niro,Cybill Shepherd,Undirected
Paul Newman,Robert Shaw,Undirected
Malcolm McDowell,Michael Bates,Undirected
Keir Dullea,William Sylvester,Undirected
Clint Eastwood,Gian Maria Volontè,Undirected
Peter O'Toole,Anthony Quinn,Undirected
Jack Lemmon,Fred MacMurray,Undirected
Cary Grant,James Mason,Undirected
James Stewart,Barbara Bel Geddes,Undirected
Gene Kelly,Donald O'Connor,Undirected
Takashi Shimura,Shin'ichi Himori,Undirected
Lamberto Maggiorani,Lianella Carell,Undirected
Fred MacMurray,Edward G. Robinson,Undirected
Orson Welles,Dorothy Comingore,Undirected
Peter Lorre,Inge Landgut,Undirected
Brigitte Helm,Gustav Fröhlich,Undirected
Charles Chaplin,Jackie Coogan,Undirected
Sushant Singh Rajput,Varun Sharma,Undirected
Vicky Kaushal,Mohit Raina,Undirected
Yash,Ramachandra Raju,Undirected
Viggo Mortensen,Linda Cardellini,Undirected
Frances McDormand,Sam Rockwell,Undirected
Irrfan Khan,Neeraj Kabi,Undirected
Prabhas,Anushka Shetty,Undirected
Carlos Martínez López,J.K. Simmons,Undirected
Ajay Devgn,Tabu,Undirected
Kangana Ranaut,Lisa Haydon,Undirected
Lembit Ulfsak,Giorgi Nakashidze,Undirected
Farhan Akhtar,Pawan Malhotra,Undirected
Manoj Bajpayee,Nawazuddin Siddiqui,Undirected
Rajat Barmecha,Manjot Singh,Undirected
Irrfan Khan,Rajesh Abhay,Undirected
Ricardo Darín,Pablo Rago,Undirected
Tom Hardy,Joel Edgerton,Undirected
Leonardo DiCaprio,Mark Ruffalo,Undirected
